Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-12-04,15:00 (10:00),Matchweek 15,Sat,Away,D,1,1,Southampton,1.4,1.4,56,28706,Shane Duffy,3-5-2,Anthony Taylor,Match Report,
2021-12-15,19:30 (14:30),Matchweek 17,Wed,Home,L,0,1,Wolves,1.1,1.3,59,30362,Dan Burn,4-3-3,Tony Harrington,Match Report,
2021-12-26,20:00 (15:00),Matchweek 19,Sun,Home,W,2,0,Brentford,0.9,0.9,51,30141,Adam Lallana,4-4-2◆,Darren England,Match Report,
2021-12-29,19:30 (14:30),Matchweek 20,Wed,Away,D,1,1,Chelsea,0.9,1.1,51,40080,Adam Lallana,3-4-3,Mike Dean,Match Report,
2022-01-02,14:00 (09:00),Matchweek 21,Sun,Away,W,3,2,Everton,1.5,1.6,50,38203,Adam Lallana,4-4-2,John Brooks,Match Report,
2022-01-14,20:00 (15:00),Matchweek 22,Fri,Home,D,1,1,Crystal Palace,2.1,0.3,64,30675,Adam Lallana,4-4-2◆,Robert Jones,Match Report,
2022-01-18,20:00 (15:00),Matchweek 24,Tue,Home,D,1,1,Chelsea,0.6,0.7,44,30880,Adam Webster,4-1-4-1,Kevin Friend,Match Report,
2022-01-23,14:00 (09:00),Matchweek 23,Sun,Away,D,1,1,Leicester City,1.0,2.2,57,31231,Adam Webster,4-4-2◆,Martin Atkinson,Match Report,
2022-02-12,15:00 (10:00),Matchweek 25,Sat,Away,W,2,0,Watford,1.4,0.5,64,20795,Lewis Dunk,3-5-2,Jonathan Moss,Match Report,
2022-02-15,20:15 (15:15),Matchweek 18,Tue,Away,L,0,2,Manchester Utd,0.6,2.0,50,73012,Lewis Dunk,4-4-2◆,Peter Bankes,Match Report,
2022-02-19,15:00 (10:00),Matchweek 26,Sat,Home,L,0,3,Burnley,0.5,0.7,69,30361,Adam Lallana,4-4-2,Kevin Friend,Match Report,
2022-02-26,15:00 (10:00),Matchweek 27,Sat,Home,L,0,2,Aston Villa,0.6,1.2,66,31475,Lewis Dunk,3-5-2,John Brooks,Match Report,
2022-03-05,15:00 (10:00),Matchweek 28,Sat,Away,L,1,2,Newcastle Utd,1.3,1.6,68,52214,Lewis Dunk,4-4-2◆,Martin Atkinson,Match Report,
2022-03-12,12:30 (07:30),Matchweek 29,Sat,Home,L,0,2,Liverpool,0.8,2.3,52,31474,Lewis Dunk,4-2-3-1,Mike Dean,Match Report,
2022-03-16,19:30 (15:30),Matchweek 16,Wed,Home,L,0,2,Tottenham,0.7,2.4,48,31144,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,
2022-04-02,15:00 (10:00),Matchweek 31,Sat,Home,D,0,0,Norwich City,2.9,0.3,63,31245,Lewis Dunk,3-5-2,Simon Hooper,Match Report,
2022-04-09,15:00 (10:00),Matchweek 32,Sat,Away,W,2,1,Arsenal,0.5,1.8,37,60112,Lewis Dunk,3-5-2,David Coote,Match Report,
2022-04-16,12:30 (07:30),Matchweek 33,Sat,Away,W,1,0,Tottenham,0.7,0.4,52,58685,Lewis Dunk,3-5-2,Craig Pawson,Match Report,
2022-04-20,20:00 (15:00),Matchweek 30,Wed,Away,L,0,3,Manchester City,0.1,1.1,36,52226,Lewis Dunk,3-5-2,Mike Dean,Match Report,
2022-04-24,14:00 (09:00),Matchweek 34,Sun,Home,D,2,2,Southampton,1.4,0.9,47,31335,Lewis Dunk,4-4-2◆,Robert Jones,Match Report,
2022-04-30,15:00 (10:00),Matchweek 35,Sat,Away,W,3,0,Wolves,2.5,0.6,52,31243,Lewis Dunk,3-4-3,Simon Hooper,Match Report,
2022-05-07,17:30 (12:30),Matchweek 36,Sat,Home,W,4,0,Manchester Utd,2.8,0.8,44,31637,Lewis Dunk,3-4-3,Andy Madley,Match Report,
2022-05-15,14:00 (09:00),Matchweek 37,Sun,Away,D,1,1,Leeds United,2.2,2.0,50,36638,Lewis Dunk,3-4-3,Mike Dean,Match Report,
2022-05-22,16:00 (11:00),Matchweek 38,Sun,Home,W,3,1,West Ham,1.7,0.3,51,31604,Lewis Dunk,4-3-2-1,Kevin Friend,Match Report,
